gene	logFC	logCPM	LR	PValue	FDR
fig|6666666.230262.peg.1344	1.130425309	5.848513213	39.22826093	3.77E-10	1.03E-08
fig|6666666.230262.peg.365	-0.916332611	7.36065155	39.09432912	4.04E-10	1.10E-08
fig|6666666.230262.peg.3430	1.769409984	4.133022449	38.59361437	5.22E-10	1.41E-08
fig|6666666.230262.peg.2677	0.776958463	7.667401313	37.89852818	7.45E-10	2.01E-08
fig|6666666.230262.peg.2552	0.76305439	7.617960153	37.82512904	7.74E-10	2.07E-08
fig|6666666.230262.peg.3404	1.824511518	4.992133025	37.78311052	7.91E-10	2.10E-08
fig|6666666.230262.peg.3261	-0.733642826	8.193605317	37.4970796	9.15E-10	2.42E-08
fig|6666666.230262.peg.2132	-0.870657018	7.464503996	37.46554761	9.30E-10	2.44E-08
fig|6666666.230262.peg.391	-0.640250076	9.474914538	37.00776	1.18E-09	3.07E-08
fig|6666666.230262.peg.2022	-0.919023863	8.784685602	36.99373228	1.19E-09	3.07E-08
fig|6666666.230262.peg.1134	0.533029412	9.780064781	36.91289575	1.24E-09	3.19E-08
fig|6666666.230262.peg.3835	-1.212937451	6.371657107	36.80032503	1.31E-09	3.35E-08
fig|6666666.230262.peg.689	0.92720479	6.247164228	36.72860575	1.36E-09	3.46E-08
fig|6666666.230262.peg.53	-0.615754503	10.98954919	36.34482256	1.65E-09	4.19E-08
fig|6666666.230262.peg.3819	0.561732337	8.886975102	36.0032344	1.97E-09	4.96E-08
fig|6666666.230262.peg.4000	0.748769102	8.344928753	35.89475326	2.08E-09	5.22E-08
fig|6666666.230262.peg.1478	-1.672567126	5.442982774	35.48428095	2.57E-09	6.40E-08
fig|6666666.230262.peg.2071	0.609645904	9.043760661	35.25190752	2.90E-09	7.17E-08
fig|6666666.230262.peg.1399	-0.799744264	8.297795248	35.06802842	3.18E-09	7.84E-08
fig|6666666.230262.peg.3122	-1.725482021	5.55816652	34.75323741	3.74E-09	9.16E-08
fig|6666666.230262.peg.1794	-0.764373626	7.752753943	34.56418258	4.12E-09	1.00E-07
fig|6666666.230262.peg.544	0.626118194	12.42985575	34.25090656	4.84E-09	1.17E-07
fig|6666666.230262.peg.4026	0.517790732	9.314330828	34.19388404	4.99E-09	1.20E-07
fig|6666666.230262.peg.2613	-1.422069862	6.212593793	34.1171922	5.19E-09	1.24E-07
fig|6666666.230262.peg.3248	-0.732358362	7.894240456	34.07492694	5.30E-09	1.26E-07
fig|6666666.230262.peg.2293	0.513924408	10.01835001	34.03486349	5.41E-09	1.28E-07
fig|6666666.230262.peg.1652	0.498660614	9.582312346	33.99341489	5.53E-09	1.30E-07
fig|6666666.230262.peg.2387	0.543232614	8.993359534	33.7573041	6.24E-09	1.46E-07
fig|6666666.230262.peg.297	1.276455598	5.036914775	33.75265341	6.26E-09	1.46E-07
fig|6666666.230262.peg.2532	0.52986549	9.679690512	33.61235209	6.73E-09	1.56E-07
fig|6666666.230262.peg.4019	0.517460754	10.95106974	33.54576923	6.96E-09	1.60E-07
fig|6666666.230262.peg.2612	-0.915745908	7.176962822	33.25608317	8.08E-09	1.85E-07
fig|6666666.230262.peg.131	0.792141397	7.144831283	33.20223394	8.31E-09	1.89E-07
fig|6666666.230262.peg.2888	0.484051064	10.63788195	33.18728667	8.37E-09	1.90E-07
fig|6666666.230262.peg.915	0.580545414	10.97036636	33.09006329	8.80E-09	1.98E-07
fig|6666666.230262.peg.2745	0.672852608	7.339803523	33.08492888	8.82E-09	1.98E-07
fig|6666666.230262.peg.3915	0.966781184	6.096586382	33.03601851	9.05E-09	2.02E-07
fig|6666666.230262.peg.1904	0.583586232	9.2364855	32.60411891	1.13E-08	2.51E-07
fig|6666666.230262.peg.1876	-1.252969935	6.180118579	32.5978759	1.13E-08	2.51E-07
fig|6666666.230262.peg.99	0.82114835	6.636961794	32.57616564	1.15E-08	2.51E-07
fig|6666666.230262.peg.2792	0.656514772	8.516012948	32.57397771	1.15E-08	2.51E-07
fig|6666666.230262.peg.3754	0.512531979	9.259644903	32.44894863	1.22E-08	2.66E-07
fig|6666666.230262.peg.4235	0.582201247	8.923408347	32.25748949	1.35E-08	2.92E-07
fig|6666666.230262.peg.3079	0.877053457	6.280510558	32.01316876	1.53E-08	3.30E-07
fig|6666666.230262.peg.598	0.84081415	6.485257185	32.00448297	1.54E-08	3.30E-07
fig|6666666.230262.peg.1147	2.254360062	3.705842298	31.69672264	1.80E-08	3.85E-07
fig|6666666.230262.peg.691	1.139786883	5.254435165	31.38001948	2.12E-08	4.51E-07
fig|6666666.230262.peg.2885	0.746363543	9.508721745	31.22502695	2.30E-08	4.86E-07
fig|6666666.230262.peg.482	0.571358495	12.002551	31.11582207	2.43E-08	5.11E-07
fig|6666666.230262.peg.1735	0.880940255	7.015415956	31.02096014	2.55E-08	5.34E-07
fig|6666666.230262.peg.3791	0.598754188	8.626724568	30.96546805	2.63E-08	5.47E-07
fig|6666666.230262.peg.1657	0.608044616	10.62939252	30.81264598	2.84E-08	5.89E-07
fig|6666666.230262.peg.2254	-0.527153297	9.996490775	30.7623832	2.92E-08	6.02E-07
fig|6666666.230262.peg.3774	-0.712297417	7.74018685	30.64902347	3.09E-08	6.35E-07
fig|6666666.230262.peg.3719	0.511190446	9.634889099	30.58786725	3.19E-08	6.52E-07
fig|6666666.230262.peg.597	0.86034433	6.121625144	30.53426041	3.28E-08	6.67E-07
fig|6666666.230262.peg.1768	0.759620509	6.979189707	30.41331146	3.49E-08	7.07E-07
fig|6666666.230262.peg.3334	0.756561287	6.721864724	30.39680384	3.52E-08	7.09E-07
fig|6666666.230262.peg.3361	-1.073145393	6.111179204	30.37279098	3.56E-08	7.15E-07
fig|6666666.230262.peg.1001	0.97976726	6.503402978	30.05735302	4.19E-08	8.37E-07
fig|6666666.230262.peg.381	-0.509394291	9.080139033	29.99717378	4.33E-08	8.60E-07
fig|6666666.230262.peg.2420	0.959328805	6.120476406	29.95417866	4.42E-08	8.75E-07
fig|6666666.230262.peg.3179	-0.972322843	6.759532141	29.86318678	4.64E-08	9.13E-07
fig|6666666.230262.peg.2847	0.663795052	7.757962459	29.65814275	5.15E-08	1.01E-06
fig|6666666.230262.peg.634	-0.930705377	8.284086868	29.63716373	5.21E-08	1.02E-06
